Country,ISO3,citizen,sex,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,AUT,EU28_FOR,F,288028,310759,329981,348012,365125,383295,,,,
Belgium,BEL,EU28_FOR,F,416232,428008,434889,440355,448655,457258,,,,
Switzerland,CHE,EU28_FOR,F,594052,610566,622893,630371,637330,645916,,,,
Cyprus,CYP,EU28_FOR,F,55730,57716,57673,59787,63044,62935,,,,
Czechia,CZE,EU28_FOR,F,72465,76736,81670,86132,91296,96186,,,,
Germany,DEU,EU28_FOR,F,1616076,1756111,1846714,1939311,2018429,2060561,,,,
Denmark,DNK,EU28_FOR,F,80174,86819,92264,97063,101895,105453,,,,
Estonia,EST,EU28_FOR,F,5435,5842,6230,7086,7797,7630,,,,
Spain,ESP,EU28_FOR,F,924739,914390,908252,908457,920475,942445,,,,
Finland,FIN,EU28_FOR,F,40147,41685,42606,42630,43096,43321,,,,
France,FRA,EU28_FOR,F,735949,748699,767095,775027,780696,778811,,,,
Croatia,HRV,EU28_FOR,F,4037,3960,3887,3817,3655,3528,,,,
Hungary,HUN,EU28_FOR,F,34127,35807,33112,31942,30649,33567,,,,
Ireland,IRL,EU28_FOR,F,207529,210131,213216,213245,215407,217547,,,,
Iceland,ISL,EU28_FOR,F,9238,9952,10816,12814,14718,16253,,,,
Italy,ITA,EU28_FOR,F,829513,867705,876677,883543,886752,889130,,,,
Liechtenstein,LIE,EU28_FOR,F,3195,3262,3289,3336,3383,3422,,,,
Lithuania,LTU,EU28_FOR,F,890,710,612,531,529,539,,,,
Luxembourg,LUX,EU28_FOR,F,107951,111504,115383,117180,117783,118359,,,,
Latvia,LVA,EU28_FOR,F,2778,2321,2276,2400,2487,2478,,,,
Malta,MLT,EU28_FOR,F,8790,10878,13303,18551,19258,21760,,,,
Netherlands,NLD,EU28_FOR,F,216863,230672,245677,263297,282926,305546,,,,
Norway,NOR,EU28_FOR,F,133613,140778,144409,147207,151021,,,,,
Poland,POL,EU28_FOR,F,9389,8045,9324,8628,8820,9706,,,,
Portugal,PRT,EU28_FOR,F,47294,49718,55696,63914,73923,83473,,,,
Romania,ROU,EU28_FOR,F,7437,10551,12743,14280,15999,18482,,,,
Sweden,SWE,EU28_FOR,F,138985,141847,143749,146320,147329,147687,,,,
Slovenia,SVN,EU28_FOR,F,6239,6475,6838,7192,7708,8065,,,,
Slovakia,SVK,EU28_FOR,F,16905,17932,18931,19807,20674,21403,,,,
Turkey,TUR,EU28_FOR,F,69815,75713,77664,72510,77569,89513,,,,
Austria,AUT,EU28_FOR,M,282270,305642,325543,345843,365084,385302,,,,
Belgium,BEL,EU28_FOR,M,436052,447870,455499,462351,472210,482707,,,,
Switzerland,CHE,EU28_FOR,M,728793,746991,759966,766642,774414,784281,,,,
Cyprus,CYP,EU28_FOR,M,50627,51411,52973,54749,54756,55866,,,,
Czechia,CZE,EU28_FOR,M,111865,118702,126592,133218,141215,148814,,,,
Germany,DEU,EU28_FOR,M,1859416,2044933,2138451,2265883,2365265,2393857,,,,
Denmark,DNK,EU28_FOR,M,93021,102556,110122,116402,122683,124992,,,,
Estonia,EST,EU28_FOR,M,8900,9530,10226,11804,13094,13253,,,,
Spain,ESP,EU28_FOR,M,969567,949432,936546,926609,934110,951857,,,,
Finland,FIN,EU28_FOR,M,50031,52517,54605,55582,56661,57751,,,,
France,FRA,EU28_FOR,M,763278,775020,789535,794664,796335,794859,,,,
Croatia,HRV,EU28_FOR,M,2944,3134,3160,3109,2981,2942,,,,
Hungary,HUN,EU28_FOR,M,46631,49336,46213,46056,43617,47493,,,,
Ireland,IRL,EU28_FOR,M,205083,207853,210040,209971,213807,215124,,,,
Iceland,ISL,EU28_FOR,M,10557,11875,14334,19135,22793,25373,,,,
Italy,ITA,EU28_FOR,M,566568,596005,599907,605630,613952,615391,,,,
Liechtenstein,LIE,EU28_FOR,M,3354,3426,3450,3510,3537,3583,,,,
Lithuania,LTU,EU28_FOR,M,1520,1340,1095,928,910,919,,,,
Luxembourg,LUX,EU28_FOR,M,114241,118002,124907,127220,128270,129519,,,,
Latvia,LVA,EU28_FOR,M,4027,3653,3661,3792,3946,4112,,,,
Malta,MLT,EU28_FOR,M,9648,11949,14924,20324,23883,26498,,,,
Netherlands,NLD,EU28_FOR,M,214071,228033,243442,262329,284798,311086,,,,
Norway,NOR,EU28_FOR,M,194308,202307,204138,205838,209050,,,,,
Poland,POL,EU28_FOR,M,20573,17046,20123,21470,22824,26892,,,,
Portugal,PRT,EU28_FOR,M,52412,54992,61919,72423,84432,95904,,,,
Romania,ROU,EU28_FOR,M,26366,37479,40799,42452,44266,45109,,,,
Sweden,SWE,EU28_FOR,M,156983,162141,166769,171943,174635,174637,,,,
Slovenia,SVN,EU28_FOR,M,10926,11122,11882,12348,12992,13458,,,,
Slovakia,SVK,EU28_FOR,M,30297,32508,34580,36142,37634,38908,,,,
Turkey,TUR,EU28_FOR,M,62897,68243,70559,65984,71155,83476,,,,
Austria,AUT,EU28_FOR,T,570298,616401,655524,693855,730209,768597,,,,
Belgium,BEL,EU28_FOR,T,852284,875878,890388,902706,920865,939965,,,,
Switzerland,CHE,EU28_FOR,T,1322845,1357557,1382859,1397013,1411744,1430197,,,,
Cyprus,CYP,EU28_FOR,T,106357,109127,110646,114536,117800,118801,,,,
Czechia,CZE,EU28_FOR,T,184330,195438,208262,219350,232511,245000,,,,
Germany,DEU,EU28_FOR,T,3475492,3801044,3985165,4205194,4383694,4454418,,,,
Denmark,DNK,EU28_FOR,T,173195,189375,202386,213465,224578,230445,,,,
Estonia,EST,EU28_FOR,T,14335,15372,16456,18890,20891,20883,,,,
Spain,ESP,EU28_FOR,T,1894306,1863822,1844798,1835066,1854585,1894302,,,,
Finland,FIN,EU28_FOR,T,90178,94202,97211,98212,99757,101072,,,,
France,FRA,EU28_FOR,T,1499227,1523719,1556630,1569691,1577031,1573670,,,,
Croatia,HRV,EU28_FOR,T,6981,7094,7047,6926,6636,6470,,,,
Hungary,HUN,EU28_FOR,T,80758,85143,79325,77998,74266,81060,,,,
Ireland,IRL,EU28_FOR,T,412612,417984,423256,423216,429214,432671,,,,
Iceland,ISL,EU28_FOR,T,19795,21827,25150,31949,37511,41626,,,,
Italy,ITA,EU28_FOR,T,1396081,1463710,1476584,1489173,1500704,1504521,,,,
Liechtenstein,LIE,EU28_FOR,T,6549,6688,6739,6846,6920,7005,,,,
Lithuania,LTU,EU28_FOR,T,2410,2050,1707,1459,1439,1458,,,,
Luxembourg,LUX,EU28_FOR,T,222192,229506,240290,244400,246053,247878,,,,
Latvia,LVA,EU28_FOR,T,6805,5974,5937,6192,6433,6590,,,,
Malta,MLT,EU28_FOR,T,18438,22827,28227,38875,43141,48258,,,,
Netherlands,NLD,EU28_FOR,T,430934,458705,489119,525626,567724,616632,,,,
Norway,NOR,EU28_FOR,T,327921,343085,348547,353045,360071,,,,,
Poland,POL,EU28_FOR,T,29962,25091,29447,30098,31644,36598,,,,
Portugal,PRT,EU28_FOR,T,99706,104710,117615,136337,158355,179377,,,,
Romania,ROU,EU28_FOR,T,33803,48030,53542,56732,60265,63591,,,,
Sweden,SWE,EU28_FOR,T,295968,303988,310518,318263,321964,322324,,,,
Slovenia,SVN,EU28_FOR,T,17165,17597,18720,19540,20700,21523,,,,
Slovakia,SVK,EU28_FOR,T,47202,50440,53511,55949,58308,60311,,,,
Turkey,TUR,EU28_FOR,T,132712,143956,148223,138494,148724,172989,,,,
Austria,AUT,NAT,F,3818840,3812853,3809500,3803960,3798472,3793909,3785435,3779283,3768901,3759205
Belgium,BEL,NAT,F,5087521,5093067,5101539,5111103,5118396,5129749,5130103,5141813,5151568,5166285
Bulgaria,BGR,NAT,F,3588456,3540948,3496277,3448925,3399956,3349366,3328331,3331528,3307891,3290231
