STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2013,,1.7,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2014,,2.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2015,,2.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2016,,3.9,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2017,,3.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2018,,3.7,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2019,,2.1,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2020,,-3.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2021,,9.0,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2022,,4.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2023,,3.9,,p,provisional,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AL,Albania,2024,,4.0,,e,estimated,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2013,,-0.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2014,,0.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2015,,1.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,2.1,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2017,,2.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2018,,2.5,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2019,,1.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,-6.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,4.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2022,,5.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,-1.0,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,AT,Austria,2024,,-1.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2013,,2.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2014,,1.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2015,,4.3,,b,break in time series,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2016,,3.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2017,,3.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2018,,3.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2019,,2.9,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2020,,-3.0,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2021,,7.4,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2022,,4.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2023,,2.0,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2024,,2.5,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2013,,0.3,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2014,,1.8,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2015,,1.5,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2016,,1.2,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2017,,1.5,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2018,,1.9,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2019,,2.4,,,,,
dataflow,ESTAT:TEC00115(1.0),Real GDP growth rate - volume,A,Annual,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",B1GQ,Gross domestic product at market prices,BE,Belgium,2020,,-4.8,,,,,
