STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,type of crime,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2014,,98,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2015,,54,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2016,,71,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2017,,52,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2018,,51,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2019,,58,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2020,,52,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2021,,61,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2022,,42,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AL,Albania,2023,,34,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2014,,43,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2015,,42,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2016,,49,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2017,,61,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2018,,73,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2019,,74,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2020,,54,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2021,,59,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2022,,65,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,AT,Austria,2023,,75,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2014,,49,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2015,,56,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2016,,42,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2017,,34,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2018,,36,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2019,,37,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2020,,42,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2021,,31,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2022,,34,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BA,Bosnia and Herzegovina,2023,,35,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2014,,210,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2015,,231,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2016,,175,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2017,,198,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2018,,192,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2019,,147,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2020,,149,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2021,,157,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2022,,185,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BE,Belgium,2023,,162,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2014,,112,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2015,,126,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2016,,79,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2017,,95,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2018,,92,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2019,,81,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2020,,67,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2021,,89,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2022,,76,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,BG,Bulgaria,2023,,74,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,CH,Switzerland,2014,,41,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,CH,Switzerland,2015,,57,,,,,
