citizen,age,Age class,Sex,ISO2,Country,year,count,ISO3,region,sub-region,non_eu_portion
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2017,683575,AUT,Europe,Western Europe,0.07791924302950062
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2018,698133,AUT,Europe,Western Europe,0.07913306183093302
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2019,703443,AUT,Europe,Western Europe,0.07940635132961386
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2020,711778,AUT,Europe,Western Europe,0.07996549625977299
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2021,719393,AUT,Europe,Western Europe,0.08053510128669342
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2022,741486,AUT,Europe,Western Europe,0.08258067304018107
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2023,842568,AUT,Europe,Western Europe,0.09254136182652349
NEU27_2020_FOR,TOTAL,Total,Total,AT,Austria,2024,878376,AUT,Europe,Western Europe,0.09590566398253036
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2017,477903,BEL,Europe,Western Europe,0.04209958537586395
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2018,483680,BEL,Europe,Western Europe,0.042433322229619826
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2019,498570,BEL,Europe,Western Europe,0.04352225333483363
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2020,515458,BEL,Europe,Western Europe,0.04473514290375997
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2021,515620,BEL,Europe,Western Europe,0.04462400669784168
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2022,530091,BEL,Europe,Western Europe,0.045628180566713174
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2023,606611,BEL,Europe,Western Europe,0.05165814002048575
NEU27_2020_FOR,TOTAL,Total,Total,BE,Belgium,2024,636395,BEL,Europe,Western Europe,0.05385375560966924
NEU27_2020_FOR,TOTAL,Total,Total,BG,Bulgaria,2021,96496,BGR,Europe,Eastern Europe,0.014772546174540352
NEU27_2020_FOR,TOTAL,Total,Total,BG,Bulgaria,2022,52173,BGR,Europe,Eastern Europe,0.008048303705801665
NEU27_2020_FOR,TOTAL,Total,Total,BG,Bulgaria,2023,64554,BGR,Europe,Eastern Europe,0.01001192671506628
