Okres,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1993
Okres Bratislava I,1458,1624,1886,1677,1538,1874,1517,1719,1678,1539,1341,1098,1137,1297,1468,1059,1312,1259,1113,1120,1036,971,1240,1098,1162,1118,1288,1367,1466,1541,1758
Okres Bratislava II,3496,3446,3947,3160,3020,3659,3338,3453,3537,3836,3471,3207,3276,3308,3237,3118,3575,3532,3494,2941,2722,2645,2717,2203,2168,1999,2398,2346,2513,2456,3343
Okres Bratislava III,2471,2541,2577,2397,2641,3300,2994,2941,2667,2473,2072,1987,2059,2062,2066,1982,2239,2039,1982,1853,1668,1509,1923,1777,1420,1434,1465,1603,1554,1492,1942
Okres Bratislava IV,2196,2148,2463,2222,2368,2605,2483,2655,2670,2686,2570,2199,2329,2405,2559,2365,2695,2301,2468,2545,1853,1798,2359,1936,1859,2018,2154,2198,2605,3209,4141
Okres Bratislava V,2315,2435,2907,2433,2479,3993,2564,2515,2510,2425,2385,1927,1912,2043,1955,1802,2317,2106,2174,2129,1992,1685,2035,1871,1804,1886,1966,2002,2089,1973,1953
Okres Malacky,1228,1238,1519,1496,1389,1405,1657,1543,1641,1425,1345,1125,1188,1140,1202,1230,1311,1158,1153,1126,875,1037,1065,822,824,792,932,876,813,716,822
Okres Pezinok,967,1006,1182,1118,1120,1470,1554,1598,1446,1531,1339,1366,1109,1078,1153,1113,1175,1091,1082,991,848,846,1053,863,762,685,752,703,626,633,777
Okres Senec,3016,3676,4060,3980,3619,4352,4076,3802,4070,3459,3310,2812,2686,2756,3045,2526,2777,2440,1935,1673,1452,1334,1549,1078,1060,810,919,832,754,633,817
Okres Dunajská Streda,1847,2022,2008,1842,1528,1798,1757,1710,1556,1557,1430,1268,1249,1239,1255,1241,1676,1598,1290,1138,1176,1206,1013,718,683,755,847,740,746,632,766
Okres Galanta,1040,1237,1333,1218,1006,1072,1113,1089,1137,1186,1010,887,922,1023,1103,882,1687,1394,1027,993,1104,1178,951,888,886,870,1032,1075,934,825,1056
Okres Hlohovec,323,373,404,376,328,443,441,384,422,352,409,379,319,354,342,380,351,341,372,410,411,414,370,373,377,349,430,347,379,390,518
Okres Piešťany,589,542,634,545,571,585,693,611,640,576,641,611,580,560,635,571,653,642,593,639,612,514,598,494,464,473,573,477,491,534,676
Okres Senica,483,551,660,556,639,616,578,549,580,575,539,557,522,555,550,546,797,796,609,589,609,564,546,504,496,553,553,529,484,518,783
Okres Skalica,329,342,317,319,380,359,381,393,403,405,347,386,362,342,363,326,478,542,399,411,451,449,397,334,292,329,401,344,518,374,451
Okres Trnava,1450,1423,1455,1236,1249,1457,1413,1300,1502,1342,1205,1176,1129,1156,1219,1120,1238,1423,1079,1026,993,905,798,873,767,912,1018,813,837,877,994
Okres Bánovce nad Bebravou,216,245,279,221,192,249,257,255,270,264,267,246,236,201,229,235,269,284,260,229,244,262,265,235,253,236,287,307,240,306,328
Okres Ilava,561,514,477,424,447,437,488,524,462,464,456,419,465,416,410,347,438,446,449,430,450,430,424,352,362,344,381,421,511,410,586
Okres Myjava,245,211,288,218,229,213,209,236,293,223,245,190,195,192,198,206,235,304,221,243,222,186,189,167,185,209,209,262,205,235,260
Okres Nové Mesto nad Váhom,673,654,681,576,615,609,567,612,582,552,604,464,467,498,457,509,489,409,474,488,439,471,406,406,345,399,418,405,419,395,697
Okres Partizánske,314,334,405,370,386,402,450,346,347,409,358,340,317,276,335,288,355,462,351,340,342,340,304,327,330,323,382,389,345,393,466
