LAU1_CODE,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1993
SK0101,303,524,581,544,671,828,532,680,568,573,234,112,187,247,348,-77,-121,-176,-409,-403,-292,-329,-238,-169,-43,-157,-240,-169,126,271,-3
SK0102,840,512,772,49,306,393,461,590,594,1022,816,784,933,886,658,903,986,1134,1121,518,505,340,219,218,157,-150,-35,55,226,128,293
SK0103,572,581,269,459,986,1311,1296,1224,924,811,405,498,577,655,556,702,685,524,378,366,353,127,400,519,140,100,-159,177,214,115,201
SK0104,184,26,-62,-95,326,211,163,470,323,476,288,325,422,509,405,551,561,105,455,565,-174,-168,76,17,11,167,40,137,912,1491,2123
SK0105,-97,-306,-120,-506,-13,936,-435,-572,-718,-771,-722,-764,-760,-943,-1212,-866,-825,-1006,-895,-638,-468,-976,-847,-663,-523,-470,-757,-593,-701,-565,-1097
SK0106,378,449,630,744,588,532,881,815,908,786,682,564,591,570,654,728,706,592,557,567,349,552,527,350,361,307,416,391,262,204,41
SK0107,172,177,177,388,396,682,787,904,756,854,678,778,527,597,607,637,644,551,523,505,362,315,520,378,332,265,219,214,74,135,174
SK0108,1553,2245,2245,2511,2387,2993,2787,2562,2953,2410,2377,1932,1897,2016,2354,1866,2044,1819,1256,1135,937,789,1002,550,576,268,283,183,125,-32,35
SK0211,1026,1163,1079,1053,776,880,948,974,799,829,697,574,607,659,606,702,1035,1061,668,565,605,770,498,300,169,253,377,261,146,88,53
SK0212,166,448,448,399,223,154,192,158,185,288,115,101,114,277,363,238,926,569,217,279,371,497,171,193,303,256,330,409,208,101,32
SK0213,-220,-146,-130,-39,-118,-85,-100,-124,-73,-139,24,-42,-61,-38,-58,0,-29,-69,-18,54,51,32,14,-19,-6,10,104,-43,47,42,-2
SK0214,3,-118,-8,16,30,-41,94,74,40,-3,87,151,119,111,147,134,148,177,147,168,249,97,181,101,67,45,60,14,47,58,-81
SK0215,53,37,128,-53,52,13,4,-38,3,15,-3,30,120,99,97,80,366,302,112,83,184,135,3,15,76,141,123,86,-20,-7,82
SK0216,13,-47,-68,-12,-16,12,45,55,38,115,47,91,65,49,80,76,157,240,93,148,188,192,108,64,59,76,145,110,286,129,-232
SK0217,492,356,309,256,301,418,403,326,553,373,190,360,274,276,355,323,290,527,229,183,122,146,-23,111,38,258,145,-54,61,89,-93
SK0221,-114,-85,-101,-150,-127,-107,-74,-126,-59,-54,-101,-49,-67,-109,-88,-81,-19,2,-52,-133,-76,-28,-53,-34,13,-23,-22,29,-61,-15,-89
SK0222,24,-38,-206,-212,-124,-189,-152,-93,-171,-168,-181,-146,-33,-71,-138,-196,-125,-122,-72,-59,-6,-59,-126,-159,-43,-96,-93,-79,51,-13,-54
SK0223,-23,-22,11,-62,-15,-101,-88,-54,12,-61,-60,-75,-52,-76,-91,-59,-19,14,-57,-46,-68,-71,-71,-48,-1,-25,-14,13,12,25,9
SK0224,212,182,192,163,164,115,117,134,119,116,134,6,37,115,19,121,47,15,113,74,57,133,13,53,41,49,41,-31,49,-24,80
SK0225,-138,-105,-114,-42,-17,-138,-6,-194,-127,-80,-177,-85,-53,-149,-71,-81,-23,83,-59,-13,-23,-48,-80,1,4,-89,-14,-3,-62,-54,-142
SK0226,-110,-206,-165,-168,-195,-178,-179,-75,-234,-155,-123,-89,-144,-107,-128,-144,-69,-42,-126,-100,-90,-107,5,-100,-44,-75,-39,30,-31,21,151
SK0227,-278,-302,-424,-266,-204,-285,-344,-362,-310,-373,-297,-239,-240,-131,-121,0,297,439,92,-86,-50,-118,-205,-216,-176,-163,-154,-8,-106,-64,-14
SK0228,-39,-51,-71,-15,15,-41,95,20,88,-51,-22,-33,-44,-39,-24,26,-1,51,3,-27,54,22,22,16,-30,28,53,17,44,-11,-37
SK0229,331,203,56,142,270,313,162,260,218,188,204,229,195,143,140,-16,400,404,419,335,91,61,-31,95,25,61,-38,174,52,384,-12
SK0231,142,121,142,110,54,-40,58,100,13,54,131,165,336,154,226,167,264,298,166,140,227,66,14,26,22,106,99,135,90,21,64
SK0232,-53,-56,-70,-67,-67,-323,-322,-240,-266,-226,-113,-188,-141,-195,-212,-145,282,330,73,139,276,156,138,116,229,147,142,268,319,204,415
SK0233,100,279,205,390,115,236,395,178,363,207,204,274,369,318,341,242,307,478,278,148,229,198,176,181,113,247,236,162,190,99,95
SK0234,18,-221,-226,29,-73,-371,-108,-243,-97,-117,-163,-71,-24,24,5,121,110,142,67,227,168,139,19,-57,202,154,201,127,70,11,-8
SK0235,-130,-132,-85,-148,-86,-156,-229,-128,-118,-193,-88,-134,-121,-87,-7,-66,63,10,14,117,164,61,165,97,-32,-17,50,25,-33,82,34
SK0236,-24,-52,-108,-40,-182,-179,-131,-218,-109,-135,-64,-95,22,-2,37,51,135,101,125,139,155,140,162,22,11,72,2,28,-31,-78,-102
SK0237,53,54,76,-113,-12,-49,39,-41,-123,-40,-51,32,78,-52,2,22,10,86,52,69,50,-32,-20,71,-39,77,99,-18,-92,-128,-182
SK031A,-73,-136,-147,-97,-185,-120,-75,-96,-131,-147,-119,-87,-88,-65,-50,-61,-39,-61,-112,-98,-84,-85,-48,-63,-64,-97,-69,-53,-87,-57,-25
SK031B,91,-116,-57,101,106,173,298,265,243,259,297,400,319,428,143,223,262,84,311,527,187,145,90,142,14,-11,-49,5,127,74,8
SK0311,109,68,41,59,57,76,1,15,59,6,6,69,13,27,16,28,23,18,68,6,82,37,-17,-26,43,48,-12,-13,-60,-50,-83
SK0312,-151,-178,-219,-247,-218,-246,-253,-160,-172,-136,-145,-174,-116,-178,-152,-2,-99,-100,-115,-121,-122,-44,-29,-76,-80,-13,-54,-87,30,-9,-51
