Okres ,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1993
Okres Bratislava I,260,446,497,352,653,798,485,657,483,482,165,-44,79,185,258,-204,-223,-326,-660,-617,-509,-610,-522,-503,-393,-480,-605,-496,-235,-140,-270
Okres Bratislava II,669,367,612,-178,446,570,733,828,891,1147,1003,893,1022,1101,889,1038,1108,1081,1001,331,260,65,-106,-71,-193,-571,-397,-227,-106,-7,325
Okres Bratislava III,531,626,274,424,1162,1566,1471,1349,1096,916,535,492,584,699,483,710,528,322,95,114,147,-139,118,197,-216,-219,-418,-110,-40,-184,2
Okres Bratislava IV,94,-21,-90,-91,612,531,470,759,656,822,606,562,735,847,689,912,790,284,745,746,-68,-122,124,61,157,245,135,312,1081,1823,2571
Okres Bratislava V,-205,-300,52,-433,349,1397,141,48,-135,-113,-20,-103,-23,-132,-579,-186,-339,-525,-549,-270,-208,-710,-659,-486,-302,-230,-563,-372,-465,-215,-498
Okres Malacky,293,424,456,673,664,676,986,901,1134,921,821,705,732,738,738,880,812,633,520,513,392,482,425,294,277,257,380,359,192,112,92
Okres Pezinok,110,167,163,440,581,896,1059,1179,955,1059,843,906,721,757,780,812,791,646,579,549,347,320,436,311,246,226,184,225,121,109,292
Okres Senec,1876,2678,2692,2990,2965,3560,3415,3225,3524,2887,2834,2287,2295,2411,2722,2166,2261,1982,1323,1201,984,765,878,458,491,155,210,78,66,-79,126
Okres Dunajská Streda,802,947,840,569,530,934,863,943,779,807,615,482,537,654,561,742,960,945,611,571,603,637,437,249,141,254,437,347,210,213,357
Okres Galanta,-247,280,150,-97,32,142,53,86,90,94,59,-5,-54,172,190,122,814,331,-9,68,87,378,-73,-29,164,96,282,409,201,141,170
Okres Hlohovec,-435,-275,-297,-246,-212,-139,-147,-191,-134,-169,41,-80,-5,-10,-26,23,-8,-74,-37,53,58,-23,-84,-71,-26,21,103,5,93,101,198
Okres Piešťany,-242,-338,-309,-370,-100,-153,8,-53,-72,-172,27,51,-39,38,71,59,141,46,1,55,117,-80,40,-89,-57,-55,-31,-62,-24,31,70
Okres Senica,-204,-246,-121,-402,-105,-54,-84,-98,2,-72,39,-4,109,75,91,33,308,168,-4,-50,132,43,-129,-82,-32,89,34,24,5,-38,247
Okres Skalica,-152,-156,-241,-212,-113,-53,40,52,8,97,47,118,101,38,104,136,153,196,35,113,169,208,-23,-29,82,59,170,142,344,166,-85
Okres Trnava,264,329,255,46,375,649,486,477,786,435,241,469,419,521,565,476,415,464,306,164,18,-60,-175,-32,-118,171,36,-142,102,180,192
