LAU1_CODE,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2 001.00,2001
SK0101,2.87,3.62,4.04,2.77,2.66,2.91,4.11,4.81,4.99,4.93,4.15,3.53,3.18,2.71,1.46,1.56,1.77,2.04,2.58,3.67,4.85,6.15,6.15
SK0102,3.33,4.36,4.82,3.22,2.83,3.39,4.70,5.63,6.67,6.08,5.48,5.60,4.60,4.00,1.87,1.56,1.85,2.07,2.87,2.96,3.62,3.79,3.79
SK0103,3.21,4.39,5.02,3.24,2.94,3.40,4.83,5.69,5.87,5.90,5.58,4.65,3.80,3.39,1.75,1.57,1.77,2.09,2.80,3.11,3.16,4.14,4.14
SK0104,3.16,4.45,4.54,2.97,2.62,3.12,4.69,5.14,5.49,5.71,4.66,4.36,3.58,3.39,1.75,1.60,1.69,1.77,2.29,2.85,3.65,4.11,4.11
SK0105,2.45,3.63,3.68,2.00,2.07,2.51,3.89,4.67,5.30,5.70,4.93,4.98,3.98,3.84,2.06,1.73,2.11,2.35,3.29,3.62,4.65,4.50,4.50
SK0106,3.56,4.62,5.38,3.31,2.89,2.98,4.46,5.94,7.43,7.22,8.69,7.43,7.46,8.02,4.71,3.50,3.70,4.83,5.96,6.59,10.13,13.55,13.55
SK0107,3.96,5.13,4.95,2.41,2.23,3.05,4.85,5.63,7.41,7.81,6.98,7.10,5.96,5.68,2.78,2.49,3.12,3.50,4.41,5.84,6.32,7.35,7.35
SK0108,3.86,5.39,6.10,3.25,3.15,3.34,4.85,5.58,6.22,6.30,6.78,6.27,5.71,5.05,2.36,2.70,3.18,3.27,3.84,4.53,7.57,8.15,8.15
SK0211,3.94,5.00,6.39,2.15,2.41,2.91,5.46,8.82,10.34,11.78,12.96,11.62,11.01,9.29,5.01,5.41,6.39,7.37,9.23,12.10,14.20,17.57,17.57
SK0212,3.41,3.76,4.46,2.21,1.75,2.05,3.29,5.05,5.43,6.75,7.20,6.52,6.29,6.16,2.84,3.44,4.75,6.64,7.91,11.16,16.22,20.03,20.03
SK0213,2.96,3.15,3.78,2.06,1.68,2.18,3.46,6.31,7.87,9.36,9.12,9.43,7.87,7.65,4.09,4.93,5.55,8.44,11.69,12.82,13.64,14.53,14.53
SK0214,2.76,3.25,4.39,2.07,1.84,2.22,3.29,5.77,7.51,9.44,8.48,8.38,6.98,7.80,4.29,3.73,4.29,5.47,7.81,8.31,9.38,11.01,11.01
SK0215,5.99,6.76,7.23,5.17,4.36,4.69,7.41,9.21,11.25,12.49,11.76,10.90,10.92,12.99,6.24,5.75,6.52,9.61,10.52,11.45,11.91,17.31,17.31
SK0216,3.60,3.98,4.84,3.35,2.33,2.89,4.87,6.11,8.27,8.87,8.68,8.42,8.76,11.55,5.38,4.14,5.55,8.17,8.99,10.12,11.50,14.34,14.34
SK0217,2.93,3.32,4.64,2.40,2.11,1.98,3.51,5.53,6.44,6.73,7.56,7.31,6.15,6.24,3.43,3.39,4.12,6.14,7.69,10.79,12.10,12.71,12.71
SK0221,3.55,4.55,5.27,2.85,3.00,4.16,6.09,8.13,10.24,11.59,12.27,10.03,9.34,9.71,5.27,5.01,6.23,9.09,9.59,13.94,16.14,17.76,17.76
SK0222,2.42,3.20,3.96,2.22,2.21,2.55,4.87,6.18,7.92,9.07,9.37,7.30,6.72,8.89,3.29,2.71,3.28,4.14,5.47,6.41,6.01,7.73,7.73
